"","x"
"513","TIMP2"
"514","RFC1"
"515","TBC1D23"
"516","CUL3"
"517","MYOM2"
"518","CYP46A1"
"519","ZZZ3"
"520","SLC18A1"
"521","USP2"
"522","CASR"
"523","TUBG2"
"524","RPL26L1"
"525","FLT4"
"526","NSUN2"
"527","FBXO42"
"528","MFAP3"
"529","MRI1"
"530","METTL1"
"531","AGA"
"532","BOD1L1"
"533","MAT2B"
"534","TLL1"
"535","EDC4"
"536","TRIO"
"537","VCAN"
"538","CLEC16A"
"539","MSR1"
"540","CDH1"
"541","SKIV2L2"
"542","DNAH5"
"543","ZFYVE16"
"544","FAM65A"
"545","C6"
"546","RAI14"
"547","SOX30"
"548","PNKP"
"549","BEST2"
"550","PHLPP2"
"551","SPDL1"
"552","STAU2"
"553","PQLC2"
"554","CTNS"
"555","RTN4R"
"556","PHF23"
"557","CDH10"
"558","INPP4A"
"559","RAB27B"
"560","PSMA4"
"561","MYO16"
"562","LSG1"
"563","PARP3"
"564","TNC"
"565","THAP3"
"566","FAM65C"
"567","TDP1"
"568","AIFM2"
"569","C2orf83"
"570","SPATA7"
"571","MED17"
"572","RETSAT"
"573","CAPG"
"574","AP2S1"
"575","USH2A"
"576","ZPBP"
"577","TG"
"578","ADAM28"
"579","BARX2"
"580","DCUN1D1"
"581","JADE2"
"582","ZIC2"
"583","LCP2"
"584","TRIT1"
"585","ADRB1"
"586","GUCA2B"
"587","CUL7"
"588","CTNNA1"
"589","PHKA2"
"590","CNTLN"
"591","EPHA3"
"592","HSPA5"
"593","DSG2"
"594","GEMIN8"
"595","OFD1"
"596","GPM6B"
"597","MAGEC2"
"598","PREX2"
"599","WDR37"
"600","YTHDC2"
"601","CTPS2"
"602","ATP6V1H"
"603","POLR2B"
"604","FAM214A"
"605","ARAP2"
"606","TPR"
"607","CP"
"608","KIAA0556"
"609","DTNBP1"
"610","ANO2"
"611","C12orf4"
"612","SCML1"
"613","WWC3"
"614","ARHGAP6"
"615","FAM184B"
"616","MAP4"
"617","GOPC"
"618","ROS1"
"619","USP28"
"620","HDAC9"
"621","TSPAN17"
"622","NOP16"
"623","CC2D2A"
"624","RRM2B"
"625","ZNF800"
"626","TNFRSF17"
"627","SNX29"
"628","LMO3"
"629","MRPS10"
"630","GUCA1A"
"631","RSF1"
"632","VPS13D"
"633","CELF2"
"634","FAM120A"
"635","R3HDM1"
"636","COL9A2"
"637","KITLG"
"638","ERCC8"
"639","ADAMTS6"
"640","H6PD"
"641","VAMP3"
"642","PER3"
"643","UTS2"
"644","TNFRSF9"
"645","EPN3"
"646","LTBP1"
"647","DKFZp686K1684"
"648","ELN"
"649","RFC2"
"650","ARID1B"
"651","CLPTM1L"
"652","NEDD4L"
"653","FOXP3"
"654","PPP1R3F"
"655","HEXB"
"656","PTCD2"
"657","KIAA2022"
"658","JKAMP"
"659","DKK3"
"660","LOC102725117"
"661","NFE2L3"
"662","MCUR1"
"663","LIMA1"
"664","LETMD1"
"665","SLC4A8"
"666","LAMC3"
"667","PTGER3"
"668","TNIP3"
"669","MAPK9"
"670","COL23A1"
"671","BCAR1"
"672","FAM160A2"
"673","HERPUD1"
"674","HOMER3"
"675","RAD51"
"676","POLQ"
"677","PIK3CB"
"678","CYBA"
"679","THOC3"
"680","HEBP2"
"681","MPHOSPH9"
"682","PLEKHA5"
"683","PRSS8"
"684","SIKE1"
"685","RRP12"
"686","FNIP2"
"687","MSMO1"
"688","TTC17"
"689","ALX4"
"690","FSTL4"
"691","FOXN3"
"692","METTL24"
"693","AKR7A2"
"694","MRTO4"
"695","NNAT"
"696","USE1"
"697","MCF2L2"
"698","NRIP2"
"699","LAMA3"
"700","AP5M1"
"701","ANAPC4"
"702","KCNQ1"
"703","TRAPPC3"
"704","THRAP3"
"705","ENTPD2"
"706","ARID4B"
"707","OPN3"
"708","SDCCAG8"
"709","PTPRN"
"710","HHAT"
"711","KIF1B"
"712","FOXC1"
"713","TBC1D22A"
"714","SYNE2"
"715","PLEKHH1"
"716","ATP9A"
"717","SPO11"
"718","CBLN4"
"719","CHRDL2"
"720","FAM168A"
"721","RELT"
"722","GALC"
"723","NOP58"
"724","SZRD1"
"725","KCNH2"
"726","CUL1"
"727","FAM114A2"
"728","CYFIP2"
"729","TAB2"
"730","GINM1"
"731","EIF2AK2"
"732","USP36"
"733","KMT2C"
"734","MCOLN3"
"735","PUM2"
"736","MRPL43"
"737","ITIH1"
"738","HPF1"
"739","ZFR"
"740","ZNF280C"
"741","NPFFR2"
"742","PHF21B"
"743","TRAF1"
"744","RC3H2"
"745","IL17RB"
"746","TRAF3IP2"
"747","GYG2"
"748","DCBLD2"
"749","SERPINB3"
"750","SOAT1"
"751","PKP2"
"752","MSH4"
"753","F7"
"754","GDI2"
"755","PRDM1"
"756","ATG5"
"757","TMCC3"
"758","PITHD1"
"759","MTA3"
"760","USP13"
"761","ATP11B"
"762","LAMC2"
"763","CDK14"
"764","SEC61A1"
"765","PPP1R12A"
"766","RASGRF1"
"767","CAMK2B"
"768","CROCC"
"769","LOC101060521"
"770","ATP2B4"
"771","LOC441155"
"772","RIOK2"
"773","YIPF1"
"774","NDC1"
"775","DGKG"
"776","FLYWCH1"
"777","UNKL"
"778","TBXAS1"
"779","PARP12"
"780","ALDH18A1"
"781","TARBP1"
"782","GATB"
"783","MXD1"
"784","CDK17"
"785","SLC2A3"
"786","PSD"
"787","CTDP1"
"788","YBX3"
"789","STYK1"
"790","WNK1"
"791","CCAR1"
"792","OGFR"
"793","GNA15"
"794","CREB3L3"
"795","PIGV"
"796","PTPRU"
"797","SNRNP40"
"798","RIMBP2"
"799","COL11A1"
"800","QSER1"
"801","MPC1"
"802","ACAA1"
"803","BCAT1"
"804","HDAC7"
"805","LZTS1"
"806","PRDM6"
"807","WNT8A"
"808","SPAG4"
"809","NCKAP1"
"810","MRPS35"
"811","GUCY1B3"
"812","SFSWAP"
"813","TNK2"
"814","MON2"
"815","CDH3"
"816","ARSF"
"817","GPBP1"
"818","DGAT2"
"819","ZNF112"
"820","CS"
"821","LTK"
"822","ELMO2"
"823","WAPL"
"824","VMP1"
"825","APPBP2"
"826","POLD1"
"827","SEZ6"
"828","EIF4B"
"829","SLC6A16"
"830","SPHK2"
"831","RPL18"
"832","CA11"
"833","ISOC2"
"834","U2AF2"
"835","EPN1"
"836","MED29"
"837","AHRR"
"838","GSC2"
"839","ZNF275"
"840","MTMR1"
"841","GPC1"
"842","ADCK1"
"843","HAGH"
"844","RNF4"
"845","CASP8"
"846","LIMCH1"
"847","ASUN"
"848","TM7SF3"
"849","DLX3"
"850","SPA17"
"851","TSPAN32"
"852","WISP2"
"853","DMRT3"
"854","ST3GAL6"
"855","ATP2C2"
"856","NGFR"
"857","CDON"
"858","TAF2"
"859","HIPK2"
"860","TNPO3"
"861","RFXANK"
"862","TMEM161A"
"863","LPAR2"
"864","CTSA"
"865","SUGP2"
"866","SLC12A2"
"867","SNX24"
"868","EYA2"
"869","CNN2"
"870","ABCA7"
"871","SNCAIP"
"872","DDX20"
"873","BTBD1"
"874","FAR2"
"875","BCAS1"
"876","POU1F1"
"877","CHI3L2"
"878","SBNO2"
"879","PMS1"
"880","HMG20B"
"881","CALCRL"
"882","TAF11"
"883","ANKS1A"
"884","AP3D1"
"885","ZNF76"
"886","SLC9A3R2"
"887","NTHL1"
"888","UHRF1BP1"
"889","GNAI3"
"890","IPO5"
"891","OAT"
"892","WDR3"
"893","PKN2"
"894","WDR18"
"895","TRAM2"
"896","NTN1"
"897","GLP2R"
"898","MCM10"
"899","DGKA"
"900","ERBB3"
"901","ROPN1"
"902","ANKRD44"
"903","KARS"
"904","ADAT1"
"905","PDIA5"
"906","TBC1D22B"
"907","NDUFB4"
"908","SPEN"
"909","MYLK"
"910","ZC3H15"
"911","MAP2K4"
"912","TMEM206"
"913","SNAP91"
"914","SLK"
"915","CYB5R4"
"916","COL17A1"
"917","GSTO2"
"918","SEC61A2"
"919","PRKCQ"
"920","TLE2"
"921","ASB1"
"922","FAM107B"
"923","ME1"
"924","TBC1D1"
"925","CDK13"
"926","MTHFD2"
"927","SLC9A7"
"928","FOXJ2"
"929","YBX1"
"930","PDE4A"
"931","PPP2R5A"
"932","CTNNA2"
"933","ELAVL1"
"934","TIE1"
"935","DIP2B"
"936","SMARCD1"
"937","KDM4A"
"938","NFYC"
"939","ZMYND12"
"940","SLC9A3"
"941","NGEF"
"942","ASPM"
"943","CD84"
"944","ELOVL1"
"945","SPI1"
"946","ZNRD1"
"947","MPPED2"
"948","CLDN18"
"949","ZBTB11"
"950","ATXN3"
"951","GOLGA5"
"952","FGFR2"
"953","LRRC40"
"954","ISOC1"
"955","EML1"
"956","TRMT11"
"957","THUMPD1"
"958","MSANTD3"
"959","KIF26A"
"960","ATG2B"
"961","ARFGEF1"
"962","ACSM2B"
"963","ZFAT"
"964","MTFR1"
"965","STAG3"
"966","FECH"
"967","MYO9A"
"968","DDX3Y"
"969","PFKP"
"970","IDI1"
"971","SP100"
"972","KLF6"
"973","PLPP1"
"974","NEO1"
"975","TRAM1"
"976","PHKA1"
"977","TNFRSF1A"
"978","CACNB1"
"979","EVI5"
"980","STOML1"
"981","PKM"
"982","DHX29"
"983","DNTTIP2"
"984","METTL22"
"985","TP53BP1"
"986","TRO"
"987","RRP15"
"988","RHOA"
"989","DHX8"
"990","PMS2P4"
"991","PRKCZ"
"992","ZFY"
"993","IARS2"
"994","SYT1"
"995","NAV3"
"996","IDH3G"
"997","ROGDI"
"998","PDZD4"
"999","ATP2B3"
"1000","ROCK1"
"1001","CBFB"
"1002","PDK3"
"1003","HYAL2"
"1004","HDAC4"
"1005","RASSF1"
"1006","FGFR3"
"1007","IFI35"
"1008","HEATR6"
"1009","COASY"
"1010","PLEKHH3"
"1011","MEF2A"
"1012","OTUD5"
"1013","TFE3"
"1014","TBC1D25"
"1015","ACSL4"
"1016","INPP5A"
"1017","GPKOW"
"1018","GRIPAP1"
"1019","FTSJ1"
"1020","PRR11"
"1021","REEP1"
"1022","ATP11A"
"1023","POLR1A"
"1024","LAPTM4A"
"1025","TTC7A"
"1026","IP6K2"
"1027","STON1-GTF2A1L"
"1028","SRBD1"
"1029","KIF2A"
"1030","RASGRP2"
"1031","PSME4"
"1032","SIRT2"
"1033","ERLEC1"
"1034","PPP2R5B"
"1035","PYGM"
"1036","PAGE1"
"1037","PITX1"
"1038","TRPC7"
"1039","MAST4"
"1040","ADGRF5"
"1041","SDK2"
"1042","ADAM7"
"1043","NUP133"
"1044","NUCKS1"
"1045","VPS35"
"1046","DNAJA2"
"1047","BCL3"
"1048","KCNAB2"
"1049","ABCC9"
"1050","GAL"
"1051","CLEC2D"
"1052","FUNDC1"
"1053","MAOB"
"1054","RORA"
"1055","DRD4"
"1056","TGFBR3"
"1057","KIAA1107"
"1058","PLA2G10"
"1059","HES2"
"1060","ATP1B3"
"1061","NEDD4"
"1062","PIGB"
"1063","MAPK6"
"1064","GNB5"
"1065","RAB27A"
"1066","CECR5"
"1067","UFD1L"
"1068","LRP6"
"1069","GUCY2C"
"1070","SCT"
"1071","PHRF1"
"1072","IKBKAP"
"1073","NUCB2"
"1074","PFN2"
"1075","PTPN3"
"1076","SPTB"
"1077","DAPP1"
"1078","FGF10"
"1079","SLC44A1"
"1080","TMEM260"
"1081","SMG6"
"1082","EXOC5"
"1083","CLTCL1"
"1084","FGF22"
"1085","FSTL3"
"1086","DGCR2"
"1087","RNF126"
