MAARS_1_003_03	MAARS_1_008_03	MAARS_1_016_03	MAARS_1_017_03	MAARS_1_044_03	MAARS_1_045_03	MAARS_1_057_03	MAARS_1_075_03	MAARS_1_082_03	MAARS_1_083_03	MAARS_1_085_03	MAARS_1_088_03	MAARS_1_090_03	MAARS_1_093_03	MAARS_1_097_03	MAARS_1_098_03	MAARS_1_100_03	MAARS_1_101_03	MAARS_1_102_03	MAARS_1_103_03
CASP10	5.73109646769663	5.67414689596728	5.76287848019346	5.87894371480052	5.79429643032212	5.64593216253798	5.30258377961775	5.85417431200651	5.51996309873254	5.99106071213482	5.35701572760165	5.80610186399434	5.88489125102988	5.58627442508783	5.74271992614515	5.48625973242593	5.26038968907619	5.37691172910521	5.69490581021878	5.88997950050414
CFLAR	7.42965798751059	7.31050346483665	7.54631595808797	7.6071078120556	7.34838441147349	7.22828663992668	7.56582929660056	7.53415278050269	7.35189973377316	7.24103924337764	7.04619106341383	7.65193185631576	7.32741368670137	7.30768042813871	7.20126637115441	7.36828186001642	7.04176012272283	7.11374449997334	7.03042318092839	7.61959180493531
TFPI	6.8646065608367	6.70474450774332	7.01486870424339	6.35687131018224	6.5132396139146	5.96910850785396	6.836191729566	6.27881805155052	6.70603672271058	6.21138044217122	6.57703140264421	6.47561953098024	6.81813096873665	6.50274425311072	7.21718889560585	6.29511598650883	6.29473761226883	6.17122942634622	6.54214797737044	6.47497991650738
NDUFAF7	6.00767537687095	6.09961536805524	5.95271149766461	6.05951075576485	6.04584928058084	6.02743325073525	6.05856821736584	6.05002625676106	6.18461909213937	5.90524557657979	5.87638888183004	6.06002289457316	6.0014266789497	6.10413669306437	6.09413509786473	6.06526573403927	5.87370594803218	6.10753453624204	6.15063171237655	6.18852256359206
RBM5	7.78780090961223	7.76675828851199	7.70124218897235	7.94765134980061	8.01519447779129	7.70185452043617	8.13619697865106	7.66360738622392	7.49217586008578	7.70872605121214	7.52602085932999	8.08635493727833	7.8930419948927	7.91104392379301	7.66988228816918	7.91647656203344	7.77664316915573	7.67295921438885	7.59998769712283	8.10114438042952
MTMR7	3.49379813329612	3.57693089013799	3.43923083726436	3.27141085314453	3.65569794839698	3.21273527661293	3.28100501698903	3.49900363547717	4.1872004460993	3.17000261220916	3.28874884217827	3.45788912373742	2.87005212522744	3.05877932696194	3.35833195512833	3.60089546688955	3.02384212451628	3.94624181759126	3.37657889997882	3.5110780434168
SLC7A2	6.88470496026584	6.66635237436455	7.10031126845593	6.75181546895887	6.86933846248488	5.94332587668308	6.09898961940098	6.49474633297873	7.4070064451321	6.43412131492872	6.40324349801546	6.88326302056459	7.03555024978562	6.49052558412651	6.70888249992267	6.65695707768127	6.42359792393761	5.83865228096921	6.50387830600046	6.64084527276868
ARF5	5.94357776709484	5.76304686128864	5.7143760925387	5.6522757036597	5.56020162805901	5.96805396101475	5.86754104781937	5.81345799584924	5.96609172754649	5.90289607781366	6.16036900327507	6.07203142955451	5.91219029642149	5.87295879994488	5.88162922254081	5.90629330170399	5.85698606175693	6.01839707842647	5.83350800807787	5.74334323608732
SARM1	5.56074604486719	5.41212099791796	5.2928391502944	4.75586583493924	5.04723399065721	4.99098493090128	5.29691441526838	5.18151946432669	5.65394581872528	4.80429265877214	5.17131542552608	5.42491446873572	5.13232453460824	5.05178689447754	5.30081956203904	5.6212257851624	5.32201024506493	5.50955491764985	5.46006042891718	5.37852862699295
POLDIP2	10.0743484266548	9.98760932493294	10.1389440095892	10.1157682610874	10.1316558076442	10.2135533590838	9.87525991606515	9.97275609801325	10.1361207384559	10.1341328762912	10.0457852920401	10.0556181234554	10.1411657405544	9.94423502781082	10.0457152018871	10.0663801721312	10.1671311763201	10.1575242752947	10.1444129056546	10.0363869260856
PLXND1	7.45385608356722	7.52651182854334	7.74467639601908	6.70397734735141	6.96053380345448	6.98509435428166	6.26932433305348	7.08394508650532	7.12761822905571	6.91937401864134	7.33934719440064	6.89756851969585	7.94220188857326	7.22687745561873	7.56386706915167	7.20889968645276	7.2244017121576	6.96238963249404	7.31279985103691	7.88628431807236
AK2	6.80024975272337	6.90872159785794	6.99365168185741	7.26871104459897	6.87526117946888	7.13075397911589	6.63074836314102	6.8774348241715	7.05323604027121	6.74736427824372	6.627037306859	6.95968957307153	7.02838090009999	6.90126412568759	6.68960463676921	6.87950016084744	6.79250553990502	6.89881904061136	6.94133195256847	6.96685589291727
CD38	3.10123699471451	3.49911783332463	3.99373115039189	2.9882854644898	3.13542465827667	3.22304970269566	3.27346881926505	3.55738152195928	3.29890924091059	3.2198520303692	3.34780341985747	3.17778024994437	4.01699663534668	3.16788388442786	3.24911940173533	3.58273313642526	3.54168608653075	3.66479633396226	3.61814689596523	3.61500162185111
FKBP4	6.65602368728682	6.90096511396691	6.7681045131342	7.18815437151445	6.74007438403964	7.07628003469701	6.98449266195869	7.20958671039917	7.06632572306131	6.92377586340914	7.10483591910954	6.99063032086933	6.92146370346206	6.95969660492809	6.88563263421838	6.77638590443255	6.98733346733595	6.89880502379157	6.80626348587705	7.03392284568445
KDM1A	7.78821751823913	7.80841778043024	7.88497280488965	7.88306641967903	7.68795222921877	7.97600873108565	7.68398279790555	7.78378591209334	7.75729381474961	7.7186647536176	7.81480766629476	7.69382932464327	7.97528165970238	7.6312531968622	7.72524573115316	7.61329791780509	7.68851792155939	7.71726913276449	7.83015529387339	7.87520824639705
RBM6	6.75665969935643	6.99637355921541	6.95083562977	7.00841034483901	6.83422515991687	6.7880328244821	6.93805986493223	6.97986896708775	6.53177873079773	6.62982642015274	6.77336449864963	6.89809020532747	6.92919960050342	7.21825705414012	6.85096170990853	7.16039123469113	6.85922708918508	6.91454531058335	6.80492419609582	7.15226692804117
CAMKK1	5.84000848687564	5.93622730229633	5.37760800573406	5.72760989064338	5.45970095868676	5.61122091990303	5.7744548884145	5.85004904173357	5.46300068804928	5.76001978325611	5.93414984306091	5.59968261000602	5.02114975180384	6.02222019002742	5.32959570061782	5.55916870274066	5.81366491862036	5.65835490552927	6.27993407879016	5.11449474771089
RECQL	7.03945603138123	6.820740231835	7.06059607187229	6.65444835299072	6.73675501953782	6.71333265335166	6.56429864980874	6.756226880646	7.11664836832619	6.60303936187173	6.79761192463088	6.58583249153371	6.76162138564595	6.73269185962781	6.64296220499366	6.97347061373205	6.81467786408097	6.66207750940956	6.82366364832667	6.88026311879874
VPS50	6.7205929075669	6.44351571923763	6.49557579310009	6.4691756036734	6.4758328249433	6.57390056656466	6.56371775537785	6.49253041021789	6.57051375260376	6.48112386166438	6.35311022790709	6.5465014465914	6.26883112495166	6.55138956062923	6.31373151217602	6.65270275099377	6.40049316851232	6.19910151123513	6.37706742543806	6.54132658058655
HSPB6	7.79223666330858	6.8515336375146	8.19151250187503	6.69463291363646	6.49084007163874	6.78041527731807	6.04342651695644	7.4287282750414	8.05548243838224	6.61591784970977	6.83908338237245	6.99852071169817	7.83224762842191	6.12634012185635	7.12534353130733	7.04866942557855	7.00967478461041	6.97364869192488	7.34295790346627	7.23278761685869
ARHGAP33	5.27611178604004	5.67881561831904	4.83392656541039	4.84569027513735	4.80075991021875	5.25387151144473	5.38173179220077	4.83840104657817	4.89355823151126	5.25887389495423	5.19213332411207	4.75681523025465	5.2314483640341	5.36882670601466	5.44597993670448	5.36162124957347	4.77030187487142	5.36568137954949	5.21122481213037	4.92265932637259
NDUFAB1	6.53514439986806	6.21023910417589	6.43396394596518	6.45176628695763	6.2251116439078	6.38459223268761	6.23636767980577	6.27087637293834	6.64644185777345	6.4525998760058	6.32618922040969	6.60448696393557	6.60704220672804	6.25757134659639	6.21004871004216	6.43699428281966	6.35294876658013	6.57955673847112	6.4543804867346	6.55934845794829
