MAARS_1_002_03	MAARS_1_004_03	MAARS_1_005_03	MAARS_1_006_03	MAARS_1_007_03	MAARS_1_009_03	MAARS_1_010_03	MAARS_1_015_03	MAARS_1_019_03	MAARS_1_020_03	MAARS_1_021_03	MAARS_1_024_03	MAARS_1_030_03	MAARS_1_032_03	MAARS_1_049_03	MAARS_1_054_03	MAARS_1_058_03	MAARS_1_061_03	MAARS_1_062_03	MAARS_1_066_03
POLDIP2	10.2565266058658	10.3108082778107	10.1637922224536	10.2877565249907	10.2175265661063	10.310627749636	10.0955572418222	10.3368408845334	10.3443729505035	10.260233936629	10.4045602585054	10.1603709919598	10.2005909835156	10.3610396821481	10.336888234229	10.2588652790501	9.99281817321315	10.2463752563622	10.3000772185599	10.2092378067869
PLXND1	7.41684998896217	7.17642935586052	7.29779015160196	7.0384428351821	6.99542469761294	7.27100059704328	6.81616814202635	6.73497202048353	6.91144211418374	6.83094917486352	7.2085423762575	6.95010766270178	6.81132206155708	7.08040274537165	6.83519207130561	7.03175171500324	6.87822208262884	6.95382590234996	7.34233395349448	7.09524697574827
AK2	7.10724129688852	7.17351766638442	7.10428903398792	7.01930253629482	6.80688270452517	6.7952659813269	6.55848132186735	6.94890445843436	6.92729526388388	6.80537945405026	6.81918621553725	7.00455878568091	6.96263658494346	7.04282569278596	7.19755516558507	7.10373198207918	6.75273114683134	7.04695639240755	7.25202898368726	7.00300083521728
CD38	3.54650138851213	4.26444582676997	3.82587751870167	3.6017684876645	3.54460065164858	3.95310846110472	3.32037147953796	3.66095991814269	4.19560470753769	3.8995569770502	3.81316798985334	3.37609096923288	3.42005169433032	3.76771426074937	3.72527841493773	4.15684321375919	3.62464881897895	3.56108091916031	3.85600056823484	4.2626264375591
FKBP4	6.916809597451	7.16403230658141	6.92465810272874	7.11055172662479	7.18309882363329	7.13618426441697	7.0170705343457	7.06530085262402	7.02249801374192	7.12547732977498	6.93713100071357	6.93225048885798	7.16851386193746	7.13266045309499	7.10158593609526	7.15249335334596	6.93881574925313	7.05624142445708	7.15672204705211	6.99486025702389
KDM1A	7.83962710155959	7.98327266679833	7.82121582357941	7.82557590305238	7.74763940776254	7.92288000270648	7.92136367068501	7.92878270054195	7.96862069402661	7.84398824995608	7.79904515413962	7.86295277616109	8.05273121748588	8.01644711994984	7.91350406655496	8.06111530007086	7.68446340277387	7.85919431895516	8.08704135872962	7.86941805022214
RBM6	6.62030432450105	6.96384594837219	6.8094336526474	6.98245803604361	6.77009915975322	6.56066765085901	6.82753185091627	6.61556377748698	6.64974094473145	6.51482438355232	6.36423488312837	6.99850283468521	6.45579102428614	6.76409234507727	6.77346322939054	6.92644408660931	7.03568310363812	6.68997900153965	7.21242649190055	6.69375494381574
CAMKK1	5.90545342547812	5.59404404230858	5.63831752668062	5.68171564935314	5.8433781909582	6.32883724133894	5.31984396892603	5.39808637456435	5.5087859901201	5.80830033104476	5.37250726470792	5.65013556834987	5.80464774402485	5.64616867768636	5.47293813710669	6.00959384115044	5.26109404870655	5.79047231575688	5.72904731029679	5.43152987507233
RECQL	6.7296431539327	6.56994823622158	6.63740352554621	6.47780457871227	6.29263729330806	6.51358139223101	6.47026352952185	6.61403226312064	6.61009138707476	6.5587836228375	6.81162102650379	6.31045686758007	6.54529046043608	6.61520294350101	6.54914099197291	6.79240507473092	6.41948163801791	6.63379329304236	6.55578269662991	6.64378620114362
VPS50	6.18164429906689	6.37504062207106	6.31538329206555	6.21735310641628	6.56181777181842	6.2750906173052	6.63275736437779	6.34642738219289	6.41290190665486	6.659620349373	6.32093380908005	6.34346014405281	6.37395777375012	6.42810358757665	6.55674533620428	6.60575233303907	6.6919461513569	6.28154143926078	6.35225247511795	6.35967474122536
